time,latitude,longitude,humidity (r),temperature (t),u-component of wind (u),v-component of wind (v)
2024-01-01 00:00:00,30.0,-109.75,,0.8878419087316247,,
2024-01-01 00:00:00,30.0,-107.75,,0.9836348503073876,0.954471707797853,
2024-01-01 00:00:00,30.0,-105.5,-0.7255453157358943,,,
2024-01-01 00:00:00,30.0,-103.5,-0.7361806055172647,1.0805529574452808,1.0161065164371577,0.1974512274496294
2024-01-01 00:00:00,30.0,-102.0,-0.7394529988537311,,,0.0323580259300481
2024-01-01 00:00:00,30.0,-101.75,-0.7394529988537311,1.101966685284528,,-0.0118774730417056
2024-01-01 00:00:00,30.0,-101.5,,,,-0.0576928112624507
2024-01-01 00:00:00,30.0,-101.0,,1.1092918015979754,0.9276587599738042,
2024-01-01 00:00:00,30.0,-100.5,,,0.912685260872938,-0.2283154501535013
2024-01-01 00:00:00,30.0,-100.25,,1.1106054564337613,,
2024-01-01 00:00:00,30.0,-100.0,,1.1034697910739348,0.9011940102546914,
2024-01-01 00:00:00,30.25,-110.0,,0.8621102378377141,,0.9340512823472662
2024-01-01 00:00:00,30.25,-109.5,,,,0.8511096712203718
2024-01-01 00:00:00,30.25,-109.25,,0.8857762201611529,1.151564137121564,0.8143784339587542
2024-01-01 00:00:00,30.25,-107.5,-0.7192732132571935,,1.1156977711359213,0.6038648793081035
2024-01-01 00:00:00,30.25,-106.5,-0.7244545160507629,,,
2024-01-01 00:00:00,30.25,-106.0,,1.003919565864638,,
2024-01-01 00:00:00,30.25,-105.75,,1.000539260778415,,0.4048051339352113
2024-01-01 00:00:00,30.25,-105.5,-0.7230910150146169,,1.0794828504676617,0.3732083489553871
2024-01-01 00:00:00,30.25,-105.25,,0.99584337749647,1.1055994912262583,
2024-01-01 00:00:00,30.25,-104.75,,,,0.2756532500527519
2024-01-01 00:00:00,30.25,-104.25,-0.7282723120892587,,1.2048421912424063,
2024-01-01 00:00:00,30.25,-103.0,,1.1119210346294777,1.1794217684048405,
2024-01-01 00:00:00,30.25,-102.75,-0.7419072995750082,,1.1602699811891637,0.0923919173917141
2024-01-01 00:00:00,30.25,-102.5,-0.7427253921901972,1.1260086844753123,,
2024-01-01 00:00:00,30.25,-101.25,,1.1252566507406212,1.1052509365436427,
2024-01-01 00:00:00,30.25,-100.0,-0.7413618968729788,1.117556479239799,1.0739113242110063,
2024-01-01 00:00:00,30.5,-109.25,,,1.321148024711137,0.8447903142244071
2024-01-01 00:00:00,30.5,-108.25,-0.7094560332477949,,,
2024-01-01 00:00:00,30.5,-108.0,-0.7119103225312169,0.9342362354100674,,0.6777223894758706
2024-01-01 00:00:00,30.5,-107.5,-0.7168189239737716,0.96147101209339,,
2024-01-01 00:00:00,30.5,-107.0,-0.7200913230291656,,1.2588164632842795,
2024-01-01 00:00:00,30.5,-106.25,,0.9888952397303336,1.2292178414763242,
2024-01-01 00:00:00,30.5,-105.5,-0.7203640186612524,0.9808171280022296,1.2664771781705508,0.3546452125023124
2024-01-01 00:00:00,30.5,-105.25,,0.9802535835411992,1.2912008482205637,0.3198887490245058
2024-01-01 00:00:00,30.5,-104.75,,0.9896453501050836,,0.2487959828199014
2024-01-01 00:00:00,30.5,-104.0,,1.0350991537751797,,
2024-01-01 00:00:00,30.5,-103.5,-0.7353625014642206,1.0760455634369914,,
2024-01-01 00:00:00,30.5,-102.25,,1.139719355773831,1.3173174889791603,
2024-01-01 00:00:00,30.5,-100.5,,1.1408464446958977,,
2024-01-01 00:00:00,30.75,-110.0,,0.8431391771162496,1.4468550287242958,
2024-01-01 00:00:00,30.75,-109.75,-0.6952756430600158,0.8455808825540672,1.461480597153487,0.9597236448659454
2024-01-01 00:00:00,30.75,-109.0,,0.8668051594396884,1.5067493817054411,
2024-01-01 00:00:00,30.75,-108.75,-0.7018204411708037,,1.516847661615104,
2024-01-01 00:00:00,30.75,-106.75,,,,0.519738434243836
2024-01-01 00:00:00,30.75,-106.0,-0.7184551206420047,0.9706742893836192,,0.4174438479271409
2024-01-01 00:00:00,30.75,-104.0,-0.7269088110531126,1.0217635376640362,,
2024-01-01 00:00:00,30.75,-102.75,-0.7413618968729788,,1.5481872739477405,
2024-01-01 00:00:00,30.75,-101.5,-0.7454523942624893,1.1485475778766905,1.4757574326112215,
2024-01-01 00:00:00,30.75,-101.25,-0.7454523942624893,,,
2024-01-01 00:00:00,30.75,-100.25,-0.7451796929114746,1.1485475778766905,,
2024-01-01 00:00:00,30.75,-100.0,-0.7446342959283727,,1.4290961230727828,
2024-01-01 00:00:00,31.0,-109.5,,,1.647082310725473,0.9459000261598444
2024-01-01 00:00:00,31.0,-109.25,,,,0.902849431902262
2024-01-01 00:00:00,31.0,-108.75,,,1.6909578571355828,0.8175381124567366
2024-01-01 00:00:00,31.0,-108.25,,,,0.736966310758185
2024-01-01 00:00:00,31.0,-107.25,,0.95189171793581,1.651260509695864,0.589251391532363
2024-01-01 00:00:00,31.0,-106.0,,,1.6188761247595798,
2024-01-01 00:00:00,31.0,-105.75,,,,0.3862419974821365
2024-01-01 00:00:00,31.0,-104.5,-0.7192732132571935,0.9766847891813152,,0.1674342817187964
2024-01-01 00:00:00,31.0,-104.25,-0.7214548126274561,,1.7414497024059967,
2024-01-01 00:00:00,31.0,-102.75,,,,-0.1133821397339052
2024-01-01 00:00:00,31.0,-102.25,,,1.7010562261896656,-0.1564327643244013
2024-01-01 00:00:00,31.0,-100.5,-0.7459977969645188,1.155121622135417,1.6237514330952028,-0.3270554032154518
2024-01-01 00:00:00,31.0,-100.0,-0.7454523942624893,,,
2024-01-01 00:00:00,31.25,-110.0,,0.8333723553649847,,1.0525392260216069
2024-01-01 00:00:00,31.25,-109.5,-0.6939121477427975,,1.811093780614188,0.9640682280780992
2024-01-01 00:00:00,31.25,-109.0,,0.8542215770632363,,0.8712526469224378
2024-01-01 00:00:00,31.25,-108.75,,0.8656780705176274,1.8581036448352424,
2024-01-01 00:00:00,31.25,-108.5,-0.7015477398197888,,,0.7812018097299388
2024-01-01 00:00:00,31.25,-108.0,-0.7067290311755028,0.9068129694530892,1.868898588388037,
2024-01-01 00:00:00,31.25,-107.5,,0.9314185131049096,,
2024-01-01 00:00:00,31.25,-106.75,-0.714364628971422,,1.8142280984251329,
2024-01-01 00:00:00,31.25,-106.0,,,1.8093527900895083,
2024-01-01 00:00:00,31.25,-103.5,-0.7258180113679813,,,
2024-01-01 00:00:00,31.25,-103.25,-0.7285450134402734,1.0360387151035555,,-0.1031131846154624
2024-01-01 00:00:00,31.25,-102.5,,,1.893273882044274,-0.194743865101341
2024-01-01 00:00:00,31.25,-101.25,,1.139344300586456,1.819799624681788,
2024-01-01 00:00:00,31.5,-110.0,,0.8277369107546636,,1.0596484520872114
2024-01-01 00:00:00,31.5,-108.75,,0.8570392993683942,2.007838190121804,0.8242524039875213
2024-01-01 00:00:00,31.5,-108.25,,0.8808928092855232,2.0252494325349018,
2024-01-01 00:00:00,31.5,-108.0,,,2.0262937594164487,0.6899660678232685
2024-01-01 00:00:00,31.5,-107.75,-0.7064563355434158,0.906436952585749,,0.6500751520636685
2024-01-01 00:00:00,31.5,-107.25,,,2.006445754279741,
2024-01-01 00:00:00,31.5,-107.0,,0.9319830192459052,,
2024-01-01 00:00:00,31.5,-106.0,,,,0.4225783002089344
2024-01-01 00:00:00,31.5,-104.0,,0.9699232173288984,,
2024-01-01 00:00:00,31.5,-103.75,-0.7190005233440342,,2.056937153828053,-0.0316254636540957
2024-01-01 00:00:00,31.5,-101.25,-0.7402711029067753,1.1207492567323372,1.9636145347511773,-0.3582572273719311
2024-01-01 00:00:00,31.5,-100.25,-0.7435434962432415,1.146668455219938,,
2024-01-01 00:00:00,31.75,-109.5,-0.6900943517043017,0.8247316608558155,2.076437495726347,
2024-01-01 00:00:00,31.75,-109.25,-0.6909124500384183,0.8294275441377605,2.093152074496313,
2024-01-01 00:00:00,31.75,-108.5,,0.8545966322506113,2.1387690571532043,0.7709329051663519
2024-01-01 00:00:00,31.75,-108.25,-0.6982753407643949,0.8656780705176274,,0.7259074360152465
2024-01-01 00:00:00,31.75,-107.0,-0.7075471352285472,0.9152651746886028,,0.5371166963156531
2024-01-01 00:00:00,31.75,-105.75,,0.9325456020269706,,
2024-01-01 00:00:00,31.75,-104.75,,,2.1366799576680084,
2024-01-01 00:00:00,31.75,-104.0,,,,0.0185344375568606
2024-01-01 00:00:00,31.75,-103.25,,0.9768742401349414,,-0.1441890050892338
2024-01-01 00:00:00,31.75,-103.0,-0.7198186273970785,,,-0.1900043473543674
2024-01-01 00:00:00,31.75,-102.25,,,2.140162384439469,
2024-01-01 00:00:00,31.75,-101.0,-0.7367260082192943,1.1038448462613095,2.0534551727786945,-0.4289550347753848
2024-01-01 00:00:00,31.75,-100.75,-0.7378168021854979,,2.0367405940087284,
2024-01-01 00:00:00,31.75,-100.0,-0.7410892069598195,,1.986945412381448,-0.519400826724646
2024-01-01 00:00:00,32.0,-110.0,-0.68491305462966,,,1.0367408335316948
2024-01-01 00:00:00,32.0,-109.75,,,2.1342423035001965,
2024-01-01 00:00:00,32.0,-109.25,-0.6868219583678355,0.8144012946435202,,0.9008746581184508
2024-01-01 00:00:00,32.0,-108.5,-0.6914578470215201,,2.212592225775988,
2024-01-01 00:00:00,32.0,-108.0,-0.6955483444110305,0.8570392993683942,2.228610140902821,
2024-01-01 00:00:00,32.0,-107.5,-0.6993661404495263,0.8776990701130196,,
